date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:56:50	19619/19619	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Dec%202020%2012:26:50%20GMT	http://cdn.shopify.com/s/files/1/0053/5665/0560/products/3_2efcacc2-eadc-478f-ad66-2ae3e5148eb6_grande.jpg?v=1543641167	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/cdn.shopify.com/s/files/1/0053/5665/0560/products/3_2efcacc2-eadc-478f-ad66-2ae3e5148eb6_grande2fe3.jpg	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-3)
17:56:50	4065/4065	---MC-	200	added ('OK')	application/json+oembed	date:Mon,%2028%20Dec%202020%2012:26:52%20GMT	https://sabujcha-demo.myshopify.com/products/dummy-product-name-3.oembed	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/sabujcha-demo.myshopify.com/products/dummy-product-name-3.oembed	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-3)
17:56:51	24455/24455	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Dec%202020%2012:26:51%20GMT	http://cdn.shopify.com/s/files/1/0053/5665/0560/products/2_c92250e4-9082-47dd-9a99-122445b2b32a_grande.jpg?v=1543641166	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/cdn.shopify.com/s/files/1/0053/5665/0560/products/2_c92250e4-9082-47dd-9a99-122445b2b32a_grandef42f.jpg	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-3)
17:56:56	54609/54609	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Dec%202020%2012:26:52%20GMT	http://cdn.shopify.com/s/files/1/0053/5665/0560/products/2_c92250e4-9082-47dd-9a99-122445b2b32a_1024x1024.jpg?v=1543641166	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/cdn.shopify.com/s/files/1/0053/5665/0560/products/2_c92250e4-9082-47dd-9a99-122445b2b32a_1024x1024f42f.jpg	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-3)
17:56:57	0/-1	---M--	302	error ('')			https://sabujcha-demo.myshopify.com/checkout	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/sabujcha-demo.myshopify.com/checkout.65e.delayed	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-3)
17:56:57	751/751	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2028%20Dec%202020%2012:26:59%20GMT	http://pinterest.com/pin/create/button/?url=https://sabujcha-demo.myshopify.com/products/dummy-product-name-3&media=http://cdn.shopify.com/s/files/1/0053/5665/0560/products/2_c92250e4-9082-47dd-9a99-122445b2b32a_1024x1024.jpg?v=1543641166&description=Dummy%20product%20name	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/pinterest.com/pin/create/button/index06c0.html	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-3)
17:56:57	0/-1	---M--	302	error ('')			https://sabujcha-demo.myshopify.com/5356650560/checkouts/5c4896b784ce71256bd65b0edb5dc33a?preview_theme_id=78417002560	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/sabujcha-demo.myshopify.com/5356650560/checkouts/5c4896b784ce71256bd65b0edb5dc33a.65fa5a5.delayed	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-3)
17:56:57	0/-1	---M--	302	error ('')			https://sabujcha-demo.myshopify.com/5356650560/checkouts/5c4896b784ce71256bd65b0edb5dc33a	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/sabujcha-demo.myshopify.com/5356650560/checkouts/5c4896b784ce71256bd65b0edb5dc33a.660.delayed	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-3)
17:56:58	45167/45167	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Dec%202020%2012:26:53%20GMT	http://cdn.shopify.com/s/files/1/0053/5665/0560/products/3_2efcacc2-eadc-478f-ad66-2ae3e5148eb6_1024x1024.jpg?v=1543641167	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/cdn.shopify.com/s/files/1/0053/5665/0560/products/3_2efcacc2-eadc-478f-ad66-2ae3e5148eb6_1024x10242fe3.jpg	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-3)
17:57:00	51434/51434	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Dec%202020%2012:26:54%20GMT	http://cdn.shopify.com/s/files/1/0053/5665/0560/products/product-detalis-bl2_652b87a7-30da-4faa-8449-dee0d747bcfa_1024x1024.jpg?v=1543641168	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/cdn.shopify.com/s/files/1/0053/5665/0560/products/product-detalis-bl2_652b87a7-30da-4faa-8449-dee0d747bcfa_1024x10249909.jpg	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-3)
17:57:01	19619/19619	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Dec%202020%2012:27:00%20GMT	http://cdn.shopify.com/s/files/1/0053/5665/0560/products/3_9c562f89-bb94-4f42-b41d-2c7ec5ede719_grande.jpg?v=1543641254	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/cdn.shopify.com/s/files/1/0053/5665/0560/products/3_9c562f89-bb94-4f42-b41d-2c7ec5ede719_grandef030.jpg	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-2)
17:57:02	24455/24455	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Dec%202020%2012:27:01%20GMT	http://cdn.shopify.com/s/files/1/0053/5665/0560/products/2_1e8e88aa-1873-481e-a0ad-097e2b4277fa_grande.jpg?v=1543641253	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/cdn.shopify.com/s/files/1/0053/5665/0560/products/2_1e8e88aa-1873-481e-a0ad-097e2b4277fa_grandeb0a3.jpg	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-2)
17:57:02	0/-1	---M--	302	error ('')			https://sabujcha-demo.myshopify.com/checkout	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/sabujcha-demo.myshopify.com/checkout.665.delayed	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-2)
17:57:02	0/-1	---M--	302	error ('')			https://sabujcha-demo.myshopify.com/5356650560/checkouts/5c4896b784ce71256bd65b0edb5dc33a?preview_theme_id=78417002560	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/sabujcha-demo.myshopify.com/5356650560/checkouts/5c4896b784ce71256bd65b0edb5dc33a.666a5a5.delayed	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-2)
17:57:02	0/-1	---M--	302	error ('')			https://sabujcha-demo.myshopify.com/5356650560/checkouts/5c4896b784ce71256bd65b0edb5dc33a	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/sabujcha-demo.myshopify.com/5356650560/checkouts/5c4896b784ce71256bd65b0edb5dc33a.667.delayed	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-2)
17:57:03	3809/3809	---MC-	200	added ('OK')	application/json+oembed	date:Mon,%2028%20Dec%202020%2012:27:04%20GMT	https://sabujcha-demo.myshopify.com/products/dummy-product-name-2.oembed	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/sabujcha-demo.myshopify.com/products/dummy-product-name-2.oembed	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-2)
17:57:05	32822/32822	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Dec%202020%2012:27:03%20GMT	http://cdn.shopify.com/s/files/1/0053/5665/0560/products/1_2a8c8790-0b7c-47b6-827b-3098bb37f521_grande.jpg?v=1543641252	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/cdn.shopify.com/s/files/1/0053/5665/0560/products/1_2a8c8790-0b7c-47b6-827b-3098bb37f521_grande9874.jpg	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-2)
17:57:05	86532/86532	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Dec%202020%2012:26:55%20GMT	http://cdn.shopify.com/s/files/1/0053/5665/0560/products/product-detalis-bl3_4b6b3d37-37e1-4f64-a008-c115353dfef6_1024x1024.jpg?v=1543641172	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/cdn.shopify.com/s/files/1/0053/5665/0560/products/product-detalis-bl3_4b6b3d37-37e1-4f64-a008-c115353dfef6_1024x10249253.jpg	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-3)
